2.144.242.53|443|200|924|http/1.1|1.0|0
2.144.242.99|443|200|1096|http/1.1|1.0|0
2.144.242.65|443|200|1034|http/1.1|1.0|0
2.144.242.87|443|200|626|http/1.1|1.0|0
2.144.242.91|443|200|730|http/1.1|1.0|0
2.144.242.147|443|200|620|http/1.1|1.0|0
2.144.242.156|443|200|874|http/1.1|1.0|0
2.144.242.26|443|200|901|http/1.1|1.0|0
2.144.242.128|443|200|645|http/1.1|1.0|0
2.144.242.126|443|200|724|http/1.1|1.0|0
2.144.242.105|443|200|821|http/1.1|1.0|0
2.144.242.57|443|200|1432|http/1.1|1.0|0
2.144.242.56|443|200|687|http/1.1|1.0|0
2.144.242.60|443|200|704|http/1.1|1.0|0
2.144.242.183|443|200|831|http/1.1|1.0|0
2.144.242.86|443|200|609|http/1.1|1.0|0
2.144.242.89|443|200|677|http/1.1|1.0|0
2.144.242.136|443|200|742|http/1.1|1.0|0
2.144.242.158|443|200|653|http/1.1|1.0|0
2.144.242.209|443|200|591|http/1.1|1.0|0
2.144.242.214|443|200|814|http/1.1|0.5|0
2.144.242.218|443|200|565|http/1.1|1.0|0
2.144.242.232|443|200|642|http/1.1|1.0|0
2.144.242.240|443|200|709|http/1.1|1.0|0
2.144.242.244|443|200|872|http/1.1|1.0|0
2.144.242.249|443|200|749|http/1.1|1.0|0
2.144.243.52|443|200|599|http/1.1|1.0|0
2.144.243.18|443|200|583|http/1.1|1.0|0
2.144.243.45|443|200|618|http/1.1|1.0|0
2.144.243.123|443|200|1105|http/1.1|1.0|0
2.144.243.121|443|200|740|http/1.1|1.0|0
2.144.243.70|443|200|1386|http/1.1|1.0|0
2.144.243.155|443|200|749|http/1.1|1.0|0
2.144.243.218|443|200|856|http/1.1|1.0|0
2.144.243.124|443|200|1073|http/1.1|1.0|0
2.144.243.51|443|200|645|http/1.1|1.0|0
2.144.243.234|443|200|715|http/1.1|1.0|0
2.144.243.154|443|200|705|http/1.1|1.0|0
2.144.243.215|443|200|687|http/1.1|1.0|0
2.144.243.165|443|200|662|http/1.1|1.0|0
2.144.243.127|443|200|701|http/1.1|1.0|0
2.144.243.159|443|200|660|http/1.1|1.0|0
2.144.243.157|443|200|660|http/1.1|1.0|0
2.144.243.128|443|200|679|http/1.1|1.0|0
2.144.243.153|443|200|617|http/1.1|1.0|0
2.144.243.146|443|200|714|http/1.1|1.0|0
2.144.243.111|443|200|982|http/1.1|1.0|0
